Business Name,Website,Logo,Category,
Tenmou,www.tenmou.me,Tenmou.jpg,Angel
Bidayatech,www.bidayatech.com,Bidayatech.jpg,Crowd Funding
SJ Investment,www.sj-investment.com/,SJ Investment.jpg,Family Office
Angivest ventures,www.angivestventures.com/,Angivest ventures.jpg,Venture Capital
Brinc,https://www.brinc.io,Brinc.jpg,Venture Capital
Egyptian American Enterprise Fund (EAEF),www.eaefund.org/,Egyptian American Enterprise Fund (EAEF).jpg,Private Equity
International Finance Corporation,www.ifc.org/,International Finance Corporation.jpg,Private Equity
Algebra Ventures,www.algebraventures.com,Algebra Ventures.jpg,Venture Capital
Cventures,www.cventureseg.com/,Cventures.jpg,Venture Capital
Endure Capital,www.endurecap.com/,Endure Capital.jpg,Venture Capital
Modus VC,,Modus VC.jpg,Venture Capital
Crown Prince Foundation,https://www.cpf.jo/en,Crown Prince Foundation.jpg,Government Program
AB Ventures,https://abventures.vc/,AB Ventures.jpg,Venture Capital
Hikmaventures,www.hikmaventures.com/home/,Hikmaventures.jpg,Venture Capital
OPIC,,OPIC.jpg,Venture Capital
Sawari Venture,,Sawari Venture.jpg,Venture Capital
Sawari Ventures,www.sawariventures.com,Sawari Ventures.jpg,Venture Capital
B&Y Venture Partners,www.byvp.com,B&Y Venture Partners.jpg,Venture Capital
Phoenician Funds,www.phoenicianfunds.com,Phoenician Funds.jpg,Venture Capital
Fresha,,Fresha.jpg,Venture Capital
Rainmaking,https://rainmaking.io/office/dubai/,Rainmaking.jpg,Venture Capital
Akwa Group,www.akwagroup.com,Akwa Group.jpg,Corporate
Holmarcom,www.holmarcom.ma/,Holmarcom.jpg,Corporate
MAMDA MCMA,www.mamda-mcma.ma/fr,MAMDA MCMA.jpg,Corporate
RMA Capital,www.rmacapital.com/,RMA Capital.jpg,Corporate
MB Family Office,,MB Family Office.jpg,Family Office
Qadri Family Office,,Qadri Family Office.jpg,Family Office
Raji Family Office,,Raji Family Office.jpg,Family Office
Afric Invest,www.africinvest.com,Afric Invest.jpg,Private Equity
ALMAMED,www.almamed.com,ALMAMED.jpg,Private Equity
Alshall Morocco,www.alshallmaroc.com/,Alshall Morocco.jpg,Private Equity
Amethis,www.amethis.com/,Amethis.jpg,Private Equity
ASMA INVEST,www.asmainvest.com/,ASMA INVEST.jpg,Private Equity
ATLAMED,www.atlamed.ma,ATLAMED.jpg,Private Equity
Brookstone Partners,www.brookstonepartners.com/,Brookstone Partners.jpg,Private Equity
